Ticker,Name,Year,ISIN Number,SIC Code,GICS Industry,,ESG,Altman's Z-Score,Sustainable Growth Rate
ASIX UN Equity,AdvanSix Inc,2019,US00773T1016,2821,151010,US,46.5044,1.8869,10.0697
ALB UN Equity,Albemarle Corp,2019,US0126531013,2821,151010,US,64.7319,2.18,10.04
AVNT UN Equity,Avient Corp,2019,US05368V1061,2821,151010,US,64.742,3.4813,14.8878
DD UN Equity,DuPont de Nemours Inc,2019,US26614N1028,2821,151010,US,66.6231,1.54,#N/A N/A
EMN UN Equity,Eastman Chemical Co,2019,US2774321002,2821,151010,US,68.65,3.3618,7.01
HXL UN Equity,Hexcel Corp,2019,US4282911084,2821,201010,US,41.696,4.6594,18.1
ROG UN Equity,Rogers Corp,2019,US7751331015,2821,452030,US,33.5077,7.4476,5.31
